,,,,,,,Limitations pérennes,,Limitations temporaires,,,,,,,,,,,,
Code,Nom,Région,Voltage,Validation comité,État,Priorité,Injection,Soutirage,Injection,Soutirage,Proposition de raccordement,Responsable,Capacité accueil HTB1,Date envoi D1,Semaine envoi,Date réception D1,Score Poste,GeopointPoste,Délai de raccordement (mois),Commentaire ,D1 envoyés
ETREP,ETREPAGNY,HAUTE-NORMANDIE,63kV,NOGO,Reçu,,0,2000,0,0,-,Pierre-Olivier,> 15.0MW,12/12/2023,Semaine 50 décembre 2023,19/03/2024,,"49.31424271336771, 1.6408855863652068",,,1
CRIQU,CRIQUET,HAUTE-NORMANDIE,90kV,NOGO,Reçu,P2,0,2000,0,0,Antenne sur le poste 90 kV de Criquet,Pierre-Olivier,> 15.0MW,12/12/2023,Semaine 50 décembre 2023,,,"49.555069978156354, 0.45675836761054045",,,1
ORCHI,ORCHIES,HAUTS-DE-FRANCE,90kV,NOGO,Reçu,,0,2000,0,0,-,Pierre-Olivier,> 15.0MW,19/12/2023,Semaine 51 décembre 2023,29/01/2024,1,"50.46609178553354, 3.237722317192069",,,1
M.MOR,MITRY-MORY,ILE DE FRANCE,225kV,,En attente,,-,-,-,-,-,Baptiste,> 15.0MW,22/07/2024,Semaine 30 juillet 2024,,1,"48.96713013789187, 2.631443614476714",,,1
COSSI,COSSIGNY,ILE DE FRANCE,225kV,GO,Reçu,,0,1400,0,0,-,Julien,> 15.0MW,30/01/2024,Semaine 5 janvier 2024,11/03/2024,1,"48.72859247408175, 2.6789744460476723",,,1
LONG9,LONGUENESSE,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,P1,8760,8760,3000,3000,-,Pierre-Olivier,> 15.0MW,29/01/2024,Semaine 5 janvier 2024,21/03/2024,1,"50.744598157981486, 2.2283485832137404",48,,1
FRUGE,FRUGES,HAUTS-DE-FRANCE,400kV,NOGO,Reçu,,2000,0,0,0,-,Pierre-Olivier,> 15.0MW,23/01/2024,Semaine 4 janvier 2024,19/03/2024,1,"50.49961607069251, 2.094580492095922",,,1
REINI,REINIERE,BASSE-NORMANDIE,90kV,Analysis,Reçu,,2000,0,0,0,Antenne 90 kV sur REINIERE,Pierre-Olivier,> 15.0MW,18/01/2024,Semaine 3 janvier 2024,,1,"48.504729335878324, 0.5459568827218024",,,1
TERRI,TERRIER,HAUTS-DE-FRANCE,400kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de TERRIER,Pierre-Olivier,> 15.0MW,17/01/2024,Semaine 3 janvier 2024,28/02/2024,1,"49.21736195512514, 2.2590279582881556",,,1
REMIS,REMISE,HAUTS-DE-FRANCE,400kV,NOGO,Reçu,,2000,2000,0,0,-,Pierre-Olivier,> 15.0MW,12/01/2024,Semaine 2 janvier 2024,29/01/2024,1,"49.28812617783305, 1.9305959725046289",,,1
GROUX,GROUX (LES),HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste de Broult,Pierre-Olivier,> 15.0MW,19/01/2024,Semaine 3 janvier 2024,28/03/2024,-,"49.094355696326666, 1.5699952304531686",,,1
RIETV,RIETVELD,HAUTS-DE-FRANCE,90kV,NOGO,Reçu,,,,,,-,Pierre-Olivier,> 15.0MW,31/01/2024,Semaine 5 janvier 2024,18/03/2024,1,"50.83177119363951, 2.5435297531187464",,,1
LECER,LECERF,HAUTE-NORMANDIE,90kV,NOGO,Reçu,P2,2000,2000,0,0,Antenne sur le poste 90 kV de LECERF,Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,,1,"49.380550579461165, 1.373256244670652",,,1
QUES5,QUESNOY (LE),HAUTS-DE-FRANCE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de LE QUESNOY,Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,28/02/2024,-,"50.2648357388996, 3.6500964566114944",,,1
PERCY,PERCY,BASSE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de PERCY,Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,,,"49.061210927756036, -0.07553381242768742",,,1
FEIGN,FEIGNIES,HAUTS-DE-FRANCE,90kV,NOGO,Reçu,,,2000,0,2000,Antenne sur le poste 90 kV de FEIGNIES,Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,,-,"50.28683623729473, 3.9217563582104367",,,1
CAMPE,LES CAMPEAUX,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,0,2000,0,0,Antenne 90 kV sur le poste LES CAMPEAUX,Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,,,"49.528724061279995, 0.9516588198065611",,,1
BOOS,BOOS,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne 90 kV sur le poste de BOOS,Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,,1,"49.3815961368079, 1.2172595508096156",,,1
MANDA,MANDARINS,HAUTS-DE-FRANCE,400kV,NOGO,Reçu,P1,0,0,0,2000,Antenne sur le poste 90 kV de Mandarin,Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,,1,"50.903503873817904, 1.7844039934681473",,,1
CAZE5,CAZERIE,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,0,0,0,Antenne 90 kV sur le poste CAZERIE,Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,,1,"49.50001710124746, 1.2576183067976796",,,1
SSCON,ST CONTEST,BASSE-NORMANDIE,90kV,NOGO,Reçu,,0,0,2000,2000,Antenne 90 kV sur le poste de ST CONTEST,Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,,1,"49.21769067658156, -0.40833910483478264",,,1
RANVI,RANVILLE,BASSE-NORMANDIE,225kV,NOGO,Reçu,,0,2000,0,0,antenne sur le poste 225 kV de RANVILLE (pas de poste HTB 1),Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,,1,"49.21641078220437, -0.2817447947235627",,,1
HEM,HEM,HAUTS-DE-FRANCE,90kV,NOGO,Reçu,,0,2000,0,2000,antenne impossible sur HEM > poste 90 kV d'ANSTAING,Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,01/04/2024,1,"50.65646869483952, 3.2097533650394237",,,1
LOGER,Logerie,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,antenne sur le poste 90 kV de LOGERIE,Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,01/04/2024,,"49.110506729943346, 0.5949846073530796",,,1
GONNE,Gonneville,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne 90 kV sur le poste de GONNEVILLE,Pierre-Olivier,> 15.0MW,07/02/2024,Semaine 6 février 2024,01/04/2024,1,"49.75962363881611, 1.0639602365591287",,,1
ENVER,Envermeu,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,0,0,2000,2000,antenne sur ENVERMEU 90 kV,Pierre-Olivier,> 15.0MW,15/02/2024,Semaine 7 février 2024,01/04/2024,1,"49.90938957342309, 1.255835816515435",,,1
BUQUE,Buquet,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne 90 kV sur le poste de BUQUET,Pierre-Olivier,> 15.0MW,20/02/2024,Semaine 8 février 2024,01/04/2024,1,"49.83818233594543, 0.958858347438518",,,1
ARMEN,Armentieres,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur ARMANTIERE 225 kV,Pierre-Olivier,,22/02/2024,Semaine 8 février 2024,03/04/2024,,"50.68061122577412, 2.8985442688490632",,,1
C.REA,CHAPELLE-REANVILLE (LA),HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de LA CHAPELLE-REANVILLE,Pierre-Olivier,> 15.0MW,05/02/2024,Semaine 6 février 2024,,1,"49.10562039152209, 1.410513128669374",,,1
BERGH,Bergholz,GRAND-EST,225kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 63 kV Bergholz,Oswald,> 15.0MW,15/03/2024,Semaine 11 mars 2024,,1,"48.76749381072234, 7.089217231128977",,,1
BXNE6,Beaune-la-Rolande,CENTRE,90kV,NOGO,Reçu,,2000,0,0,0,Beaune-la-rolande,Oswald,> 15.0MW,15/03/2024,Semaine 11 mars 2024,,1,"48.07643295249428, 2.4295072994797624",,,1
PITHI,Pithiviers,CENTRE,90kV,NOGO,Reçu,P1,0,0,2000,2000,Pithiviers,Oswald,> 15.0MW,15/03/2024,Semaine 11 mars 2024,,1,"48.168941408028275, 2.221556386835347",,,1
ENSIS,Ensisheim,GRAND-EST,63kV,NOGO,Reçu,,0,0,0,0,Antenne sur le poste 63 kV Ensiheim,Oswald,> 15.0MW,13/03/2024,Semaine 11 mars 2024,,1,"47.86610989737312, 7.376378082544515",,,1
ANCER,Ancerville,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV Ancerville,Oswald,> 15.0MW,13/03/2024,Semaine 11 mars 2024,,1,"49.045795526010465, 6.40835746449915",,,1
BEZAU,Bezaumont,GRAND-EST,400kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 63 kV Bezaumont,Oswald,> 15.0MW,13/03/2024,Semaine 11 mars 2024,,1,"48.85738660817037, 6.097616979245982",,,1
VNES,VIGNES (LES),CENTRE,90kV,NOGO,Reçu,P1,2000,0,0,0,"Raccordement sur le poste EGUZON (le poste VIGNES étant un poste client, il n'est pas possible de s'y raccorder)",Oswald,> 15.0MW,13/03/2024,Semaine 11 mars 2024,,1,"46.444531238037825, 1.5529924736501617",,,1
GATI5,GATINAIS,CENTRE,400kV,NOGO,Reçu,P1,0,0,2000,2000,antenne sur Gatinais 90 kV,Oswald,> 15.0MW,13/03/2024,Semaine 11 mars 2024,,1,"48.088840384156526, 2.3848430410185424",,,1
HIRSI,HIRSINGUE,GRAND-EST,225kV,NOGO,Reçu,,0,0,2000,2000,antenne sur le poste 63 kV de HIRSINGUE,Oswald,> 15.0MW,08/03/2024,Semaine 10 mars 2024,27/03/2024,1,"47.59680697037377, 7.260196098500107",,,1
SSPUY,ST-GERMAIN-DU-PUY,CENTRE,90kV,NOGO,Reçu,,2000,0,0,0,antenne sur le poste de St Germain du Puy,Oswald,> 15.0MW,08/03/2024,Semaine 10 mars 2024,,-,"47.11225979585626, 2.4976858488335067",,,1
WADON,Wadonville,GRAND-EST,63kV,NOGO,Reçu,,0,0,0,0,impossible de se raccorder sur le poste à proximité,Oswald,> 15.0MW,08/03/2024,Semaine 10 mars 2024,27/03/2024,1,"49.066986861553, 5.690505386887768",,,1
ETAI5,Etain,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,0,0,antenne sur le poste 63 kV de ETAIN,Oswald,> 15.0MW,08/03/2024,Semaine 10 mars 2024,27/03/2024,1,"49.195850463167105, 5.6569600317187945",,,1
BAYAR,Bayard,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,0,0,antenne sur le poste 63 kV de BAYARD,Oswald,> 15.0MW,08/03/2024,Semaine 10 mars 2024,27/03/2024,1,"48.54528616934476, 5.069998120037321",,,1
CHAN6,Chancenay,GRAND-EST,225kV,NOGO,Reçu,,0,0,2000,2000,antenne sur le poste 63 kV de CHANCENAY,Oswald,> 15.0MW,08/03/2024,Semaine 10 mars 2024,27/03/2024,1,"48.67686347303042, 4.99839276178379",,,1
