,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24
01/01/2023,0.03,0.07,0.07,-0.17,-0.06,-0.11,0.10,0.06,0.08,-0.04,0.09,-0.13,0.08,0.09,0.00,-0.17,-0.06,-0.05,-0.06,0.17,-0.07,-0.10,0.09,0.07
02/01/2023,-0.10,0.06,0.11,-0.07,-0.04,0.17,-0.05,-0.08,-0.11,-0.06,0.07,0.10,-0.02,0.05,0.12,-0.15,0.01,-0.04,0.15,-0.13,0.03,0.09,0.05,-0.17
03/01/2023,0.05,-0.16,0.12,0.00,-0.01,0.13,-0.16,0.03,0.01,0.08,0.08,-0.17,0.17,-0.06,-0.07,-0.04,-0.01,-0.08,-0.07,0.17,-0.11,0.07,-0.06,0.10
04/01/2023,0.04,-0.17,0.04,0.09,-0.07,-0.09,0.07,0.09,-0.12,-0.05,0.08,0.08,-0.06,-0.02,0.17,-0.09,0.07,0.10,-0.06,-0.11,0.17,0.00,-0.04,-0.12
05/01/2023,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.06,0.09,0.02,-0.17,-0.04,-0.09,-0.04,0.17,0.00,-1.00,-1.00,0.00,-0.06,-0.08,-0.02,0.17
06/01/2023,0.06,-0.08,-0.09,0.10,-0.13,-0.04,0.13,0.03,-0.06,-0.03,-0.08,0.17,-0.01,-0.10,-0.05,0.17,-0.11,-0.03,-0.03,0.17,-0.01,-0.07,-0.09,0.17
07/01/2023,0.07,0.02,0.07,-0.17,-0.10,-0.06,0.11,0.06,0.11,-0.12,-0.05,0.05,-0.02,0.05,0.11,-0.15,0.16,0.01,-0.04,-0.12,0.04,0.13,-0.10,-0.06
08/01/2023,-0.02,0.00,0.16,-0.15,-0.13,0.15,0.01,-0.03,-0.06,-0.01,-0.10,0.17,-0.08,-0.05,0.17,-0.04,0.00,-0.12,-0.05,0.17,-0.17,0.00,0.04,0.12
09/01/2023,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,-1.00,-1.00,0.00,-0.09,0.08,-0.08,0.09,0.00,0.00,0.00,0.00,0.09,-0.11,-0.05,0.07
10/01/2023,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,-0.06,-0.07,-0.04,0.17,-0.08,0.08,-0.09,0.09,-0.05,-0.02,-0.10,0.17
