ref;Circuit name;sub_1_short;sub_2_short;Voltage level (kV);I_max_Summer;I_max_Interseason_1;I_max_Interseason_2;I_max_Winter;Resistance R (Ω);Reactance X (Ω);Capacity (nF);Half-Susceptance Hd/2 (μS);Length (m);
AIRVAL61BONN6;LIT 225kV N0 1 AIRVAULT-BONNEAU;AIRVA;BONN6;225;932;932;1145;1145;3,064;20,350;762,736;119,810;52792;
AIRVAL61JUMEA;LIT 225kV N0 1 AIRVAULT-JUMEAUX (LES);AIRVA;JUMEA;225;1249;1337;1337;1434;0,330;2,212;50,501;7,933;5507;
ALBERL61CHAV6;LIT 225kV N0 1 ALBERTVILLE-CHAVANOD;ALBER;CHAV6;225;617;685;685;742;4,460;17,210;17,210;60,000;42135;
ALBERL61CONTA;LIT 225kV N0 1 ALBERTVILLE-CONTAMINE;ALBER;CONTA;225;565;673;673;765;2,352;10,043;225,097;35,358;24925;
ALBERL61LONG6;LIT 225kV N0 1 ALBERTVILLE-LONGEFAN;ALBER;LONG6;225;565;673;673;765;4,486;17,749;391,180;61,446;43669;
ALBERL61MALGO;LIT 225kV N0 1 ALBERTVILLE-MALGOVERT;ALBER;MALGO;225;565;673;673;765;3,540;16,640;363,641;55,000;40633;
ALBERL61VEN.P;LIT 225kV N0 1 ALBERTVILLE-VENTHON-POSTE;ALBER;VEN.P;225;231;468;468;611;0,390;1,580;33,963;5,000;3790;
ALLINL61CORNI;LIT 225kV N0 1 ALLINGES-CORNIER;ALLIN;CORNI;225;966;1076;1076;1168;2,420;14,488;343,724;53,992;36996;
ANOULL61ETIVA;LIT 225kV N0 1 ANOULD-ETIVAL;ANOUL;ETIVA;225;1070;1155;1155;1265;2,888;19,202;433,075;68,027;47620;
AOSTEL61BISSY;LIT 225kV N0 1 AOSTE-BISSY;AOSTE;BISSY;225;236;470;470;612;2,398;10,316;212,697;33,410;24490;
AQUEDL61CIROL;LIT 225kV N0 1 AQUEDUCS (LES)-CIROLLIERS;AQUED;CIROL;225;827;1015;1015;1150;0,549;3,644;84,418;13,260;9163;
