Code,Nom,S3REnR,Taux d'affection des capacités réservées,X,Y,Puissance des projets en service du S3REnR en cours,Puissance des projets en développement du S3REnR en cours,Capacité d'accueil réservée au titre du S3REnR qui resteàaffecter,Puissance EnR déjé raccordée,Puissance des projets EnR en développement,Capacité réservée aux EnR au titre du S3REnR,Attention: la valeur de la capacité réservée a été modifiée sur ce poste,Quote-Part unitaire actualisée,Attention : Le S3REnR de la région est saturé,dont la convention de raccordement est signée,"Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de transport ","Travaux RTE indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible",RTE - Capacité d'accueil en HTB2,RTE - Capacité d'accueil en HTB1,"Capacité d'accueil réservée au titre du S3REnR, restante sans travaux sur le poste source",Puissance cumulée des transformateurs existants,Nombre de transformateurs supplémentaires possible,Nombre de transformateurs existants,Consommation minimale,Tension aval,Tension amont,"Travaux GRD indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible",Puissance en file d'attente,Puissance en file d'attente hors S3REnR majorée de la capacité réservée du S3REnR,Capacité de transformation HTB/HTA restante disponible pour l'injection sur le réseau public de distribution,"Travaux indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible","Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de distribution en HTB",GRDHTB - Capacité d'accueil en HTB2,GRDHTB - Capacité d'accueil en HTB1,ratio_congestion_sous_tirage,RAM_sous_tirage,projet_injection,ratio_congestion_injection,RAM_injection,min_RAM,geo_point_2d,lat,lon
A.ADO,AIRE-SUR-ADOUR,NOUVELLE-AQUITAINE,77%,437096.44,6295185.5,4.1,5.3,0.0,7.7,8.9,8.7,.,89.94 k€/MW,,0.0,2.6,.,0.0, <= 0.0MW,0.0,40.0,,2.0,3.4,16.0,63.0,,8.9,12.3,26.7,,,,,42,23.200000000000003,28.9,100,0.0,0.0,"43.70701507487605, -0.2621293080682898",43.70701507487605,-0.2621293080682898
A.BAI,AIX-LES-BAINS,AUVERGNE-RHONE-ALPES,41%,926603.25,6514719.5,0.8,0.1,9.0,6.1,1.6,9.9,Trsf - 10MW le 28/11/23,41.11 k€/MW,,0.0,9.9,Sans Objet,0.0, > 15.0MW,9.1,72.0,,2.0,10.5,20.0,63.0,,1.6,11.4,74.8,,,,,72,20.160000000000004,19.1,25,56.099999999999994,20.160000000000004,"45.694070201124475, 5.912976806377394",45.694070201124475,5.912976806377394
A.COM,AVESNES-LE-COMTE,HAUTS-DE-FRANCE,54%,665170.8,7019499.0,0.3,1.3,43.7,2.3,1.5,45.3,!,75.29 k€/MW,0.0,0.0,0.0,Raccordement d'un transformateur 225/20kV au poste existant de Avesnes-le-Comte,0.0, <= 0.0MW,3.8,160.0,,4.0,3.2,21.0,227.0,,1.5,45.5,159.3,,,,,10,144.0,49.3,30,111.51,111.51,"50.27229074078036, 2.512132931226335",50.27229074078036,2.512132931226335
A.DOU,ARNAC-SUR-DOURDOU,OCCITANIE,35%,696877.0,6294687.0,0.0,27.4,10.6,32.2,99.4,38.0,-,81.6 k€/MW,,0.0,0.0,-,0.0, <= 0.0MW,0.0,160.0,,4.0,0.2,20.0,225.0,,99.4,110.0,60.8,,,,,0,160.0,241.6,100,0.0,0.0,"43.72436945392922, 2.9733790627264987",43.72436945392922,2.9733790627264987
A.DUC,ARNAY-LE-DUC,BOURGOGNE-FRANCHE-COMTé,61%,812437.56,6669952.0,2.1,4.0,28.5,3.5,4.0,34.6,Transfert(s) de capacité : -4 MW le 13/01/2023 et transfert de capacité notifié le 19/07/2024 de -2.4 MW,72.71 k€/MW,,0.0,0.0,Raccordement d'un transformateur 63/20 kV,, <= 0.0MW,0.0,36.0,,1.0,1.9,21.0,62.0,Ajout d'un transformateur de 36 MVA,4.0,37.0,30.4,,,,,26,26.64,44.5,100,0.0,0.0,"47.12017555463884, 4.48280532979371",47.12017555463884,4.48280532979371
A.HUE,ALPE-D HUEZ,AUVERGNE-RHONE-ALPES,41%,941616.56,6447808.0,0.0,1.0,0.3,0.0,1.0,1.3,--,41.11 k€/MW,,0.0,0.0,Création d'un poste 400/63kV en Romanche et augmentation de la capacité de transit de la liaison 63kV EYBENS - PEAGE DE VIZILLE,0.0, <= 0.0MW,0.0,40.0,,2.0,4.5,21.0,63.0,,1.0,1.3,43.4,,,,,56,17.599999999999998,2.3,5,41.23,17.599999999999998,"45.08717777094799, 6.071287069377405",45.08717777094799,6.071287069377405
A.LIG,ACHILLE LIGNON,AUVERGNE-RHONE-ALPES,41%,844551.44,6522302.0,0.0,0.0,3.6,0.1,0.0,3.6,--,41.11 k€/MW,,0.0,3.6,Sans Objet,0.0, > 15.0MW,3.6,72.0,,2.0,7.7,21.0,63.0,,0.0,3.6,79.4,,,,,53,33.839999999999996,3.7,4,76.224,33.839999999999996,"45.78502838416076, 4.860843851493769",45.78502838416076,4.860843851493769
A.MER,ARGELES-SUR-MER,OCCITANIE,35%,700629.44,6161041.5,0.3,11.1,0.6,19.1,11.1,12.0,"""transfert: + 4 MW""",81.6 k€/MW,,0.0,6.2,Renforcement transformation Baixas,, <= 0.0MW,0.0,72.0,,2.0,9.0,21.0,63.0,,11.1,12.0,50.8,,,,,62,27.36,42.2,83,8.636000000000001,8.636000000000001,"42.54973057797062, 3.007375833602092",42.54973057797062,3.007375833602092
A.MOR,AIGUES-MORTES,OCCITANIE,35%,796805.6,6274848.0,0.1,0.7,5.2,3.3,0.9,6.0,_,81.6 k€/MW,,0.0,5.0,,, <= 0.0MW,5.2,72.0,,2.0,6.6,20.0,63.0,,0.9,6.2,74.4,,,,,45,39.6,10.4,13,64.72800000000001,39.6,"43.56592927654032, 4.197928525511441",43.56592927654032,4.197928525511441
A.MOU,AIX MOURET,PROVENCE-ALPES-COTE-D'AZUR,17%,896929.4,6272029.0,0.1,0.2,71.7,1.2,0.2,72.0,_,76.07 k€/MW,,0.0,72.0,,0.0,,71.7,70.0,,1.0,8.3,20.0,225.0, ,0.2,72.0,76.9,,,,,59,28.700000000000003,73.4,95,3.845000000000004,3.845000000000004,"43.51997262329411, 5.435638835040724",43.51997262329411,5.435638835040724
A.OTH,AIX-EN-OTHE,GRAND-EST,78%,753676.06,6792876.0,4.9,2.3,0.0,2.6,2.4,6.8,28/12/2023 : +2.4 MW.. 18/11/2024 : +1.92 MW,81.82 k€/MW,Non,0.0,0.0,.,0.0, <= 0.0MW,0.3,36.0,,1.0,2.4,21.0,63.0,,2.4,7.7,33.4,,,,,33,24.119999999999997,12.7,38,20.708,20.708,"48.23393541099926, 3.722677746347232",48.23393541099926,3.722677746347232
A.PLE,ARGENTRE-DU-PLESSIS,BRETAGNE,96%,390538.84,6779202.5,2.2,4.1,0.0,6.8,4.5,2.0,Transfert +1 MW 17/01/24,19.94 k€/MW,,0.0,0.0,,, > 15.0MW,0.4,40.0,,2.0,5.2,21.0,90.0,,5.6,8.2,32.8,,,,,65,14.0,19.5,59,13.448,13.448,"48.039801899541345, -1.1546286186847565",48.039801899541345,-1.1546286186847565
ABBEN,ABBENANS,BOURGOGNE-FRANCHE-COMTé,61%,960694.1,6717447.5,0.9,11.9,49.2,3.6,23.3,62.0,-,72.71 k€/MW,,0.0,0.0,Reconstruction du réseauà63 000 Volts dans le secteur de Voujeaucourt et Isle-sur-le-Doubs. Raccordement d'un transformateur 63/20 kV.,0.0, <= 0.0MW,0.0,56.0,,2.0,2.6,21.0,63.0,Ajout d'un transformateur de 36 MVA + Mutation d'un transformateur de 20 en 36 MVA,23.3,73.4,31.7,,,,,23,43.120000000000005,100.3,100,0.0,0.0,"47.50588041460009, 6.464647120936852",47.50588041460009,6.464647120936852
ABBEV,ABBEVILLE,HAUTS-DE-FRANCE,54%,616055.56,7000100.0,0.0,2.4,4.4,5.4,3.0,6.8,!,75.29 k€/MW,0.0,0.0,0.0,,0.0, > 15.0MW,4.4,72.0,,2.0,10.6,20.0,90.0,,3.0,7.5,74.2,,,,,73,19.44,15.9,21,58.618,19.44,"50.09370872329019, 1.8280176608855658",50.09370872329019,1.8280176608855658
ABERS,LES ABERS,BRETAGNE,96%,133239.72,6851529.0,2.3,9.2,4.5,2.1,9.2,16.0,"Transfert de -1 MW le 28/03/2019, transfert de +1 MW le 05/11/2020, adaptation +16 MW 16/12/22, transfert -2 MW 17/01/24",19.94 k€/MW,,0.0,8.8,,, > 15.0MW,0.1,20.0,,1.0,2.9,21.0,62.0,,9.2,11.6,11.6,,,,,72,5.6000000000000005,22.9,100,0.0,0.0,"48.515724481063046, -4.686411583341006",48.515724481063046,-4.686411583341006
ABOND,ABONDANCE,AUVERGNE-RHONE-ALPES,41%,989537.1,6583927.0,0.0,0.0,7.3,0.3,0.0,7.3,--,41.11 k€/MW,,0.0,7.3,Sans Objet,0.0, > 15.0MW,7.3,40.0,,2.0,3.4,21.0,63.0,,0.0,7.3,43.2,,,,,42,23.200000000000003,7.6,17,35.856,23.200000000000003,"46.29341405761365, 6.762598108669597",46.29341405761365,6.762598108669597
ACHIE,ACHIET,HAUTS-DE-FRANCE,54%,684389.8,7004528.5,0.0,5.7,6.0,3.7,6.8,11.7,!,75.29 k€/MW,0.0,0.0,0.0,1 TR 36MVA,, <= 0.0MW,6.0,108.0,,3.0,7.1,21.0,89.0,Création d'un transformateur 36 MVA,10.8,16.8,100.5,,,,,32,73.44,27.3,27,73.365,73.365,"50.13920051180107, 2.7812275320718123",50.13920051180107,2.7812275320718123
AGNEA,AGNEAUX,BASSE-NORMANDIE,83%,399128.78,6898156.0,1.8,4.2,0.0,4.3,4.2,6.0,,11.94 k€/MW,,0.0,0.5,,0.0, > 15.0MW,6.0,148.0,,5.0,10.0,15.0,89.0,,5.5,12.2,148.3,,,,,33,99.16,20.7,13,129.02100000000002,99.16,"49.11287013994912, -1.121940544896841",49.11287013994912,-1.121940544896841
AICIR,AICIRITS,NOUVELLE-AQUITAINE,77%,374024.28,6257839.0,7.0,9.4,0.0,13.3,9.8,12.9,05/02/2024 : +4.4 MW depuis AUTERRIVE,89.94 k€/MW,,0.0,0.0,.,0.0, <= 0.0MW,0.0,40.0,,2.0,4.4,21.0,63.0,,9.8,15.3,21.3,,,,,55,18.0,38.400000000000006,100,0.0,0.0,"43.344923860214564, -1.019798581813732",43.344923860214564,-1.019798581813732
