Région;Ouvrage;Nom de l'ouvrage;Puissance max de l'ouvrage;Poste 1;Pourcentage 1;Poste 2;Pourcentage 2;Poste 3;Pourcentage 3;geom;centroid
AUVERGNE-RHÔNE-ALPES;SSSAUL31ZSSRO;LIAISON 63kV N0 1 ENVAL-ST-PIERRE-ROCHE-ST-SAUVES;16.0;SSSAU;-48.0;VOING;-47.0;;;;
AUVERGNE-RHÔNE-ALPES;GATEL;GATELLIER;12.0;AURIL;-29.0;JUSSA;-29.0;GATEL;-29.0;;
AUVERGNE-RHÔNE-ALPES;ALLE5L31CIZE;LIAISON 63kV N0 1 ALLEMENT (PORTIQUE)-CIZE;1.0;ALLE5;-64.0;PAIRE;-64.0;HAUT6;-46.0;;
BOURGOGNE-FRANCHE-COMTÉ;SARRYL61SEREI;LIAISON 225kV N0 1 SARRY-SEREIN;131.0;SEREI;-15.0;AUXER;-14.0;SAUIL;-14.0;;
BOURGOGNE-FRANCHE-COMTÉ;GISSEL32VERRE;LIAISON 63kV N0 2 GISSEY-VERREY;29.0;VERRE;37.0;GISSE;-31.0;DARCE;-14.0;;
BOURGOGNE-FRANCHE-COMTÉ;AVALLL61J.VIL;LIAISON 225kV N0 1 AVALLON - JOUX-LA-VILLE;19.0;AVALL;-59.0;C.VE5;-59.0;B.CUR;-55.0;;
BOURGOGNE-FRANCHE-COMTÉ;MARC6L31ZFONT;LIAISON 63kV N0 1 GRAY - MARCILLY - VINGEANNE;15.0;VINGE;-57.0;GRAY;-28.0;MARC6;18.0;;
BOURGOGNE-FRANCHE-COMTÉ;PACY L31TONNE;LIAISON 63kV N0 1 PACY-TONNERRE;8.0;MTBAR;18.0;VENAR;14.0;TONNE;-8.0;;
BOURGOGNE-FRANCHE-COMTÉ;CORB9L31ZPANN;LIAISON 63kV N0 1 CHATEAU-CHINON-CORBIGNY-PANNESIERE;4.0;PANNE;-71.0;C.CHI;-55.0;SSHON;-37.0;;
GRAND EST;MUREML61ZG.HA;LIAISON 225kV N0 1 MUREMONT - SAINTOIS - VINCEY;122.0;MUREM;-60.0;EPIZO;-49.0;FRONC;-37.0;;
GRAND EST;DAMERL41ZCUBR;LIAISON 90kV N0 1 CUBRY (LE) - DAMERY - VERTUS;35.0;CUBRY;-66.0;VERTU;-47.0;AULNA;-35.0;;
GRAND EST;BOUZOL31DALST;LIAISON 63kV N0 1 BOUZONVILLE-DALSTEIN;34.0;BOUZO;-54.0;BOULA;-35.0;DALST;33.0;;
GRAND EST;DIEUZL31LAND5;LIAISON 63kV N0 1 DIEUZE-LANDROFF;25.0;DIEUZ;-57.0;AMELE;-26.0;LAND5;18.0;;
GRAND EST;COMPEL31OIRY;LIAISON 63kV N0 1 COMPERTRIX-OIRY;23.0;OIRY;35.0;COMPE;-25.0;CXSSE;-9.0;;
GRAND EST;REBEUL31VESAI;LIAISON 63kV N0 1 REBEUVILLE - VESAIGNES;16.0;REBEU;39.0;VESAI;-34.0;GONCO;21.0;;
GRAND EST;SUIPPL31VOUZI;LIAISON 63kV N0 1 SUIPPES-VOUZIERS;13.0;VOUZI;-36.0;SUIPP;20.0;SSMEN;13.0;;
GRAND EST;C.SEIL31POLIS;LIAISON 63kV N0 1 CHATILLON-SUR-SEINE-POLISOT;11.0;POLIS;-46.0;SSVAU;-28.0;C.SEI;20.0;;
GRAND EST;BARBUL31N.SEI;LIAISON 63kV N0 1 BARBUISE-NOGENT-SUR-SEINE;5.0;N.SEI;-38.0;;;;;;
GRAND EST;BRIENL31CRENE;LIAISON 63kV N0 1 BRIENNE-CRENEY;3.0;BRIEN;63.0;SSDIZ;8.0;CHAN6;6.0;;
HAUTS-DE-FRANCE;PERIZL61ZCP.M;LIAISON 225kV N0 1 MONT-VARIN - PERIZET (LE) - SETIER;189.0;MTVAR;-44.0;PERIZ;34.0;SETIE;-34.0;;
