,Code,Nom,S3REnR,Taux d'affection des capacités réservées,X,Y,Puissance des projets en service du S3REnR en cours,Puissance des projets en développement du S3REnR en cours,Capacité d'accueil réservée au titre du S3REnR qui resteàaffecter,Puissance EnR déjé raccordée,Puissance des projets EnR en développement,Capacité réservée aux EnR au titre du S3REnR,Attention: la valeur de la capacité réservée a été modifiée sur ce poste,Quote-Part unitaire actualisée,Attention : Le S3REnR de la région est saturé,dont la convention de raccordement est signée,"Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de transport ","Travaux RTE indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible",RTE - Capacité d'accueil en HTB2,RTE - Capacité d'accueil en HTB1,"Capacité d'accueil réservée au titre du S3REnR, restante sans travaux sur le poste source",Puissance cumulée des transformateurs existants,Nombre de transformateurs supplémentaires possible,Nombre de transformateurs existants,Consommation minimale,Tension aval,Tension amont,"Travaux GRD indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible",Puissance en file d'attente,Puissance en file d'attente hors S3REnR majorée de la capacité réservée du S3REnR,Capacité de transformation HTB/HTA restante disponible pour l'injection sur le réseau public de distribution,"Capacité d'accueil réservée au titre du S3REnR, restante sans travaux sur le poste source.1",Puissance cumulée des transformateurs existants.1,Nombre de transformateurs supplémentaires possible.1,Nombre de transformateurs existants.1,Consommation minimale.1,Tension aval.1,Tension amont.1,"Travaux GRD indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible.1",Puissance en file d'attente.1,Puissance en file d'attente hors S3REnR majorée de la capacité réservée du S3REnR.1,Capacité de transformation HTB/HTA restante disponible pour l'injection sur le réseau public de distribution.1,"Travaux indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible","Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de distribution en HTB",GRDHTB - Capacité d'accueil en HTB2,GRDHTB - Capacité d'accueil en HTB1,ratio_congestion_soutirage,RAM_soutirage,projet_injection,ratio_congestion_injection,RAM_injection,min_RAM
0,A.ADO,AIRE-SUR-ADOUR,NOUVELLE-AQUITAINE,77%,437096.44,6295185.5,4.1,5.3,0.0,7.7,8.9,8.7,.,89.94 k€/MW,,0.0,2.6,.,0.0, <= 0.0MW,0.0,40.0,,2.0,3.4,16.0,63.0,,8.9,12.3,26.7,,,,,,,,,,,,,,,,42,23.200000000000003,28.900000000000002,100,0.0,0.0
1,A.BAI,AIX-LES-BAINS,AUVERGNE-RHONE-ALPES,41%,926603.25,6514719.5,0.8,0.1,9.0,6.1,1.6,9.9,Trsf - 10MW le 28/11/23,41.11 k€/MW,,0.0,9.9,Sans Objet,0.0, > 15.0MW,9.1,72.0,,2.0,10.5,20.0,63.0,,1.6,11.4,74.8,,,,,,,,,,,,,,,,72,20.160000000000004,19.1,25,56.099999999999994,20.160000000000004
2,A.COM,AVESNES-LE-COMTE,HAUTS-DE-FRANCE,54%,665170.8,7019499.0,0.3,1.3,43.7,2.3,1.5,45.3,!,75.29 k€/MW,0.0,0.0,0.0,Raccordement d'un transformateur 225/20kV au poste existant de Avesnes-le-Comte,0.0, <= 0.0MW,3.8,160.0,,4.0,3.2,21.0,227.0,,1.5,45.5,159.3,,,,,,,,,,,,,,,,10,144.0,49.3,30,111.51,111.51
3,A.DOU,ARNAC-SUR-DOURDOU,OCCITANIE,35%,696877.0,6294687.0,0.0,27.4,10.6,32.2,99.4,38.0,-,81.6 k€/MW,,0.0,0.0,-,0.0, <= 0.0MW,0.0,160.0,,4.0,0.2,20.0,225.0,,99.4,110.0,60.8,,,,,,,,,,,,,,,,0,160.0,241.60000000000002,100,0.0,0.0
4,A.DUC,ARNAY-LE-DUC,BOURGOGNE-FRANCHE-COMTé,61%,812437.56,6669952.0,2.1,4.0,28.5,3.5,4.0,34.6,Transfert(s) de capacité : -4 MW le 13/01/2023 et transfert de capacité notifié le 19/07/2024 de -2.4 MW,72.71 k€/MW,,0.0,0.0,Raccordement d'un transformateur 63/20 kV,, <= 0.0MW,0.0,36.0,,1.0,1.9,21.0,62.0,Ajout d'un transformateur de 36 MVA,4.0,37.0,30.4,,,,,,,,,,,,,,,,26,26.64,44.5,100,0.0,0.0
6,A.HUE,ALPE-D HUEZ,AUVERGNE-RHONE-ALPES,41%,941616.56,6447808.0,0.0,1.0,0.3,0.0,1.0,1.3,--,41.11 k€/MW,,0.0,0.0,Création d'un poste 400/63kV en Romanche et augmentation de la capacité de transit de la liaison 63kV EYBENS - PEAGE DE VIZILLE,0.0, <= 0.0MW,0.0,40.0,,2.0,4.5,21.0,63.0,,1.0,1.3,43.4,,,,,,,,,,,,,,,,56,17.599999999999998,2.3,5,41.23,17.599999999999998
7,A.LIG,ACHILLE LIGNON,AUVERGNE-RHONE-ALPES,41%,844551.44,6522302.0,0.0,0.0,3.6,0.1,0.0,3.6,--,41.11 k€/MW,,0.0,3.6,Sans Objet,0.0, > 15.0MW,3.6,72.0,,2.0,7.7,21.0,63.0,,0.0,3.6,79.4,,,,,,,,,,,,,,,,53,33.839999999999996,3.7,4,76.224,33.839999999999996
8,A.MER,ARGELES-SUR-MER,OCCITANIE,35%,700629.44,6161041.5,0.3,11.1,0.6,19.1,11.1,12.0,"""transfert: + 4 MW""",81.6 k€/MW,,0.0,6.2,Renforcement transformation Baixas,, <= 0.0MW,0.0,72.0,,2.0,9.0,21.0,63.0,,11.1,12.0,50.8,,,,,,,,,,,,,,,,62,27.36,42.2,83,8.636000000000001,8.636000000000001
9,A.MOR,AIGUES-MORTES,OCCITANIE,35%,796805.6,6274848.0,0.1,0.7,5.2,3.3,0.9,6.0,_,81.6 k€/MW,,0.0,5.0,,, <= 0.0MW,5.2,72.0,,2.0,6.6,20.0,63.0,,0.9,6.2,74.4,,,,,,,,,,,,,,,,45,39.6,10.4,13,64.72800000000001,39.6
10,A.MOU,AIX MOURET,PROVENCE-ALPES-COTE-D'AZUR,17%,896929.4,6272029.0,0.1,0.2,71.7,1.2,0.2,72.0,_,76.07 k€/MW,,0.0,72.0,,0.0,,71.7,70.0,,1.0,8.3,20.0,225.0, ,0.2,72.0,76.9,,,,,,,,,,,,,,,,59,28.700000000000003,73.4,95,3.8450000000000037,3.8450000000000037
